"","X","az","date","senat","anordnung","link","year","kammer","r1","r2","r3","r1_f","r2_f","r3_f","gv","wechsel_at_all","ersetzt","ersatz","konform","c_nach_gversatz","crit","whichgv","gv_mod","real_c","drop","gv_viol"
"4830",6774,"2 BvR 1206/98",1998-07-31,2,0,"http://www.bverfg.de/e/rk19980731_2bvr120698.html",1998,3,"Graßhof","Kirchhof","Jentsch","Limbach","Graßhof","Kirchhof","Hassemer Jentsch Sommer Winter Kruis",1,"Limbach","Jentsch","Graßhof Kirchhof Jentsch",1,0,"1","Jentsch Sommer Winter Kruis",1,FALSE,0
"4833",6760,"2 BvQ 28/98",1998-08-11,2,1,"http://www.bverfg.de/e/qk19980811_2bvq002898.html",1998,3,"Limbach","Graßhof","Sommer","Limbach","Graßhof","Kirchhof","Hassemer Jentsch Sommer Winter Kruis",1,"Kirchhof","Sommer","Limbach Graßhof Hassemer",3,1,"3","Hassemer Jentsch Sommer Winter Kruis",3,FALSE,1
"4847",6551,"2 BvQ 5/99",1999-03-31,2,1,"http://www.bverfg.de/e/qk19990331_2bvq000599.html",1999,3,"Kirchhof","Jentsch","Osterloh","Limbach","Kirchhof","Jentsch","Osterloh Broß Sommer Winter Hassemer",1,"Limbach","Osterloh","Kirchhof Jentsch Osterloh",1,0,"1","Osterloh Broß Sommer Winter",1,FALSE,0
"4856",6461,"2 BvR 1177/99",1999-07-26,2,0,"http://www.bverfg.de/e/rk19990726_2bvr117799.html",1999,3,"Limbach","Jentsch","Osterloh","Limbach","Kirchhof","Jentsch","Osterloh Broß Sommer Winter Hassemer",1,"Kirchhof","Osterloh","Limbach Jentsch Osterloh",2,0,"1","Osterloh Broß Sommer Hassemer",2,FALSE,0
"4857",6439,"2 BvR 1442/99",1999-08-13,2,0,"http://www.bverfg.de/e/rk19990813_2bvr144299.html",1999,3,"Limbach","Sommer","Jentsch","Limbach","Kirchhof","Jentsch","Osterloh Broß Sommer Winter Hassemer",1,"Kirchhof","Sommer","Limbach Jentsch Osterloh",2,0,"3","Osterloh Broß Sommer Hassemer",2,FALSE,1
"4859",6437,"2 BvR 1307/99",1999-08-16,2,0,"http://www.bverfg.de/e/rk19990816_2bvr130799.html",1999,3,"Sommer","Jentsch","Broß","Limbach","Kirchhof","Jentsch","Osterloh Broß Sommer Winter Hassemer",1,"Limbach","Broß","Sommer Jentsch Osterloh",2,0,"2","Osterloh Broß Hassemer",1,FALSE,1
"4871",6285,"2 BvQ 60/99",2000-01-12,2,1,"http://www.bverfg.de/e/qk20000112_2bvq006099.html",2000,3,"Hassemer","Broß","DiFabio","Limbach","Winter","Hassemer","DiFabio Jentsch Osterloh Broß Sommer",1,"Limbach Winter","BroßDiFabio BroßDiFabio","Hassemer Broß DiFabio BroßDiFabio Jentsch",1,0,"1","BroßDiFabio Jentsch",1,FALSE,0
"4882",6232,"2 BvR 2352/99",2000-02-24,2,0,"http://www.bverfg.de/e/rk20000224_2bvr235299.html",2000,3,"Hassemer","Broß","DiFabio","Limbach","Winter","Hassemer","DiFabio Jentsch Osterloh Broß Sommer",1,"Limbach Winter","BroßDiFabio BroßDiFabio","Hassemer Broß DiFabio BroßDiFabio Jentsch",1,0,"1","BroßDiFabio Jentsch Osterloh Sommer",1,FALSE,0
"4912",6067,"2 BvR 1261/00",2000-07-31,2,0,"http://www.bverfg.de/e/rk20000731_2bvr126100.html",2000,3,"Hassemer","Broß","Osterloh","Limbach","Winter","Hassemer","DiFabio Jentsch Osterloh Broß Sommer",1,"Limbach","Osterloh","Hassemer Broß BroßDiFabio",1,0,"3","BroßDiFabio Jentsch Osterloh Sommer",2,FALSE,1
"4916",6051,"2 BvR 1372/00",2000-08-21,2,0,"http://www.bverfg.de/e/rk20000821_2bvr137200.html",2000,3,"Limbach","Sommer","Broß","Limbach","Winter","Hassemer","DiFabio Jentsch Osterloh Broß Sommer",1,"Hassemer","Sommer","Limbach Broß BroßDiFabio",1,0,"4","BroßDiFabio Jentsch Osterloh Sommer",2,FALSE,1
